state,code,year,dem,rep
Alabama,AL,2016,34.4,62.1
Alaska,AK,2016,36.6,51.3
Arizona,AZ,2016,44.6,48.1
Arkansas,AR,2016,33.7,60.6
California,CA,2016,61.5,31.5
Colorado,CO,2016,48.2,43.3
Connecticut,CT,2016,54.6,40.9
Delaware,DE,2016,53.1,41.7
District of Columbia,DC,2016,90.9,4.1
Florida,FL,2016,47.4,48.6
Georgia,GA,2016,45.3,50.4
Hawaii,HI,2016,62.2,30.0
Idaho,ID,2016,27.5,59.2
Illinois,IL,2016,55.2,38.4
Indiana,IN,2016,37.5,56.5
Iowa,IA,2016,41.7,51.1
Kansas,KS,2016,35.7,56.2
Kentucky,KY,2016,32.7,62.5
Louisiana,LA,2016,38.4,58.1
Maine,ME,2016,47.8,44.9
Maryland,MD,2016,60.3,33.9
Massachusetts,MA,2016,60.0,32.8
Michigan,MI,2016,47.0,47.3
Minnesota,MN,2016,46.4,44.9
Mississippi,MS,2016,40.1,57.9
Missouri,MO,2016,37.9,56.4
Montana,MT,2016,35.4,55.6
Nebraska,NE,2016,33.7,58.7
Nevada,NV,2016,47.9,45.5
New Hampshire,NH,2016,46.8,46.5
New Jersey,NJ,2016,55.0,41.0
New Mexico,NM,2016,48.3,40.0
New York,NY,2016,59.0,36.5
North Carolina,NC,2016,46.2,49.8
North Dakota,ND,2016,27.2,63.0
Ohio,OH,2016,43.2,51.3
Oklahoma,OK,2016,28.9,65.3
Oregon,OR,2016,50.1,39.1
Pennsylvania,PA,2016,47.5,48.2
Rhode Island,RI,2016,54.4,38.9
South Carolina,SC,2016,40.7,54.9
South Dakota,SD,2016,31.7,61.5
Tennessee,TN,2016,34.7,60.7
Texas,TX,2016,43.2,52.2
Utah,UT,2016,27.2,45.1
Vermont,VT,2016,56.7,30.3
Virginia,VA,2016,49.8,44.4
Washington,WA,2016,52.5,36.8
West Virginia,WV,2016,26.2,67.9
Wisconsin,WI,2016,46.5,47.2
Wyoming,WY,2016,21.9,68.2
Alabama,AL,2012,38.36,60.55
Alaska,AK,2012,40.81,54.80
Arizona,AZ,2012,44.59,53.65
Arkansas,AR,2012,36.88,60.57
California,CA,2012,60.24,37.12
Colorado,CO,2012,51.49,46.13
Connecticut,CT,2012,58.06,40.73
Delaware,DE,2012,58.61,39.98
District of Columbia,DC,2012,90.91,7.28
Florida,FL,2012,50.01,49.13
Georgia,GA,2012,45.48,53.30
