"region_txt","summary"
"Middle East & North Africa","01/01/2016: An explosive device detonated in Ad Dawanim area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/01/2016: An explosive device detonated near shops in Sadr City neighborhood, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/01/2016: An explosive device detonated targeting a police patrol in Arab Ebjur area, Baghdad city, Baghdad governorate, Iraq. At least one police officer was killed and four officers were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"South Asia","01/01/2016: Assailants kidnapped three people, including superintendent of police Salwinder Singh, on Jammu-Pathankot road in Pathankot city, Punjab state, India. The three hostages were released later the same day. This was one of two attacks carried out by the same assailants on the same day. No group claimed responsibility for the incident."
"South Asia","01/01/2016: Assailants stabbed Ekagar Singh and stole his vehicle near Kathlore bridge, 35 km from Pathankot city, Punjab state, India. Singh, a civilian, was killed in the attack. This was one of two attacks carried out by the same assailants on the same day. No group claimed responsibility for the incident."
"South Asia","01/01/2016: A suicide bomber detonated an explosives-laden vehicle at Le Jardin restaurant in Taimani neighborhood, Kabul city, Kabul province, Afghanistan. Two people were killed and 18 people were injured in the blast. The Taliban claimed responsibility for the attack."
"Middle East & North Africa","01/01/2016: Assailants fired a rocket at soldiers in Cizre district, Sirnak province, Turkey. One soldier was killed and four soldiers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK)."
"Middle East & North Africa","01/01/2016: An explosive device detonated in Sur district, Diyarbakir province, Turkey. At least one police officer was killed and one officer and one soldier were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK)."
"Sub-Saharan Africa","01/01/2016: Assailants attacked a police station in Huriwa neighborhood, Mogadishu city, Banaadir region, Somalia. Three assailants were killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab."
"Sub-Saharan Africa","01/01/2016: Assailants opened fire on a Turkish humanitarian worker in Mogadishu city, Banaadir region, Somalia. One civilian was killed and three people, including the worker, were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab."
"Sub-Saharan Africa","01/01/2016: Assailants detonated an explosive device and opened fire on a General Services Unit (GSU) convoy outside of Baure township, Lamu County, Kenya. An unknown number of soldiers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab."
