"Year","Region","Count"
"1970","Australasia & Oceania",1
"1971","Australasia & Oceania",1
"1972","Australasia & Oceania",2
"1973","Australasia & Oceania",1
"1974","Australasia & Oceania",1
"1975","Australasia & Oceania",0
"1976","Australasia & Oceania",0
"1977","Australasia & Oceania",0
"1978","Australasia & Oceania",2
"1979","Australasia & Oceania",2
"1980","Australasia & Oceania",7
"1981","Australasia & Oceania",3
"1982","Australasia & Oceania",2
"1983","Australasia & Oceania",0
"1984","Australasia & Oceania",11
"1985","Australasia & Oceania",7
"1986","Australasia & Oceania",4
"1987","Australasia & Oceania",3
"1988","Australasia & Oceania",12
"1989","Australasia & Oceania",29
"1990","Australasia & Oceania",18
"1991","Australasia & Oceania",10
"1992","Australasia & Oceania",17
"1994","Australasia & Oceania",14
"1995","Australasia & Oceania",18
"1996","Australasia & Oceania",19
"1997","Australasia & Oceania",7
"1998","Australasia & Oceania",6
"1999","Australasia & Oceania",4
"2000","Australasia & Oceania",6
"2001","Australasia & Oceania",4
"2002","Australasia & Oceania",2
"2003","Australasia & Oceania",4
"2004","Australasia & Oceania",0
"2005","Australasia & Oceania",0
"2006","Australasia & Oceania",2
"2007","Australasia & Oceania",1
"2008","Australasia & Oceania",8
"2009","Australasia & Oceania",1
"2010","Australasia & Oceania",1
"2011","Australasia & Oceania",0
"2012","Australasia & Oceania",0
"2013","Australasia & Oceania",1
"2014","Australasia & Oceania",9
"2015","Australasia & Oceania",14
"2016","Australasia & Oceania",10
"1970","Central America & Caribbean",7
"1971","Central America & Caribbean",5
"1972","Central America & Caribbean",3
"1973","Central America & Caribbean",6
"1974","Central America & Caribbean",11
"1975","Central America & Caribbean",9
"1976","Central America & Caribbean",45
"1977","Central America & Caribbean",24
"1978","Central America & Caribbean",199
"1979","Central America & Caribbean",609
"1980","Central America & Caribbean",1070
"1981","Central America & Caribbean",1148
"1982","Central America & Caribbean",996
"1983","Central America & Caribbean",858
"1984","Central America & Caribbean",681
"1985","Central America & Caribbean",780
"1986","Central America & Caribbean",393
"1987","Central America & Caribbean",566
"1988","Central America & Caribbean",495
"1989","Central America & Caribbean",503
"1990","Central America & Caribbean",316
"1991","Central America & Caribbean",729
"1992","Central America & Caribbean",212
"1994","Central America & Caribbean",180
"1995","Central America & Caribbean",168
"1996","Central America & Caribbean",116
"1997","Central America & Caribbean",117
"1998","Central America & Caribbean",1
"1999","Central America & Caribbean",8
"2000","Central America & Caribbean",14
"2001","Central America & Caribbean",8
"2002","Central America & Caribbean",3
"2003","Central America & Caribbean",8
"2004","Central America & Caribbean",5
"2005","Central America & Caribbean",3
"2006","Central America & Caribbean",5
"2007","Central America & Caribbean",4
"2008","Central America & Caribbean",0
"2009","Central America & Caribbean",9
"2010","Central America & Caribbean",1
"2011","Central America & Caribbean",1
"2012","Central America & Caribbean",1
"2013","Central America & Caribbean",14
"2014","Central America & Caribbean",5
"2015","Central America & Caribbean",1
"2016","Central America & Caribbean",3
"1970","Central Asia",0
"1971","Central Asia",0
"1972","Central Asia",0
"1973","Central Asia",0
"1974","Central Asia",0
"1975","Central Asia",0
"1976","Central Asia",0
"1977","Central Asia",0
"1978","Central Asia",0
"1979","Central Asia",0
"1980","Central Asia",0
"1981","Central Asia",0
"1982","Central Asia",0
"1983","Central Asia",0
"1984","Central Asia",0
"1985","Central Asia",0
"1986","Central Asia",0
"1987","Central Asia",0
"1988","Central Asia",0
"1989","Central Asia",0
"1990","Central Asia",0
"1991","Central Asia",7
"1992","Central Asia",77
"1994","Central Asia",65
"1995","Central Asia",55
"1996","Central Asia",33
"1997","Central Asia",49
"1998","Central Asia",25
"1999","Central Asia",24
"2000","Central Asia",21
"2001","Central Asia",18
"2002","Central Asia",6
"2003","Central Asia",7
"2004","Central Asia",8
"2005","Central Asia",11
"2006","Central Asia",6
"2007","Central Asia",4
"2008","Central Asia",36
"2009","Central Asia",31
"2010","Central Asia",9
"2011","Central Asia",9
"2012","Central Asia",12
"2013","Central Asia",7
"2014","Central Asia",9
