"year","attacks_tot","attacks_success","attacks_failures","fail_percent"
1970,650,548,102,15.6923076923077
1971,470,419,51,10.8510638297872
1972,496,451,45,9.07258064516129
1973,473,433,40,8.45665961945032
1974,580,544,36,6.20689655172414
1975,740,705,35,4.72972972972973
1976,923,861,62,6.71722643553629
1977,1319,1191,128,9.70432145564822
1978,1526,1411,115,7.53604193971166
1979,2661,2407,254,9.54528372792183
1980,2662,2387,275,10.3305785123967
1981,2585,2354,231,8.93617021276596
1982,2545,2373,172,6.75834970530452
1983,2870,2660,210,7.31707317073171
1984,3495,3282,213,6.09442060085837
1985,2915,2727,188,6.44939965694683
1986,2860,2671,189,6.60839160839161
1987,3184,2934,250,7.85175879396985
1988,3720,3439,281,7.55376344086021
1989,4323,4007,316,7.30973860744853
1990,3887,3583,304,7.82094160020582
1991,4683,4299,384,8.19987187700192
1992,5073,4562,511,10.0729351468559
1994,3458,3071,387,11.1914401388086
1995,3081,2794,287,9.31515741642324
1996,3056,2768,288,9.42408376963351
1997,3200,2969,231,7.21875
1998,933,858,75,8.03858520900322
1999,1395,1237,158,11.326164874552
2000,1813,1636,177,9.76282404853833
2001,1907,1690,217,11.3791295228107
2002,1332,1212,120,9.00900900900901
2003,1262,1137,125,9.90491283676704
2004,1162,1076,86,7.40103270223752
2005,2009,1902,107,5.32603285216526
2006,2749,2653,96,3.49217897417243
2007,3241,3122,119,3.67170626349892
2008,4803,4400,403,8.39058921507391
2009,4719,4430,289,6.12417885145158
2010,4822,4382,440,9.12484446287847
2011,5071,4601,470,9.26838887793335
2012,8500,7582,918,10.8
2013,11996,10450,1546,12.8876292097366
2014,16860,14982,1878,11.1387900355872
2015,14852,12613,2239,15.0754107190951
2016,13488,10887,2601,19.2838078291815
