"iyear","nkill"
1970,0.279605263157895
1971,0.426108374384236
1972,1.25777777777778
1973,0.872641509433962
1974,1.03831417624521
1975,1.0511073253833
1976,0.825552825552825
1977,0.383515559293524
1978,1.0626365622724
1979,0.930851063829787
1980,1.98597919493442
1981,2.51738453554748
1982,2.94606999426277
1983,4.78419452887538
1984,3.72549019607843
1985,2.86626262626263
1986,2.00564288593309
1987,2.0957928802589
1988,1.94929501084599
1989,1.89694567498251
1990,1.84179335222881
1991,1.84079493339157
1992,1.92970297029703
1993,2.051272
1994,2.28219584569733
1995,1.98114434330299
1996,2.32321547698466
1997,3.48803064155761
1998,5.38850574712644
1999,2.51895910780669
2000,2.50683371298405
2001,4.10551431601273
2002,3.63560606060606
2003,2.63929146537842
2004,4.98517872711421
2005,3.17076845806128
2006,3.51294559099437
2007,4.02189552705662
2008,1.92762186115214
2009,1.97213358859817
2010,1.60411044218393
2011,1.63156851080706
2012,1.86110441282855
2013,1.9089894393406
2014,2.7493373722075
2015,2.73667733902526
2016,2.72888958841583
