County, FIPS,Rate
"Union County, Florida(6,10)",12125,54.6
"Keith County, Nebraska(6,10)",31101,36.3
"Vilas County, Wisconsin(6,10)",55125,35.4
"Camp County, Texas(6,10)",48063,34.6
"Decatur County, Tennessee(6,10)",47039,34.1
"Sullivan County, Pennsylvania(6,10)",42113,33.8
"Harrison County, Iowa(7)",19085,33.7
"Davis County, Iowa(7)",19051,33.4
"Powell County, Kentucky(7)",21197,33.2
"Forest County, Wisconsin(6,10)",55041,32.8
"Washburn County, Wisconsin(6,10)",55129,31.3
"Calhoun County, West Virginia(6,10)",54013,30.9
"Jefferson County, Montana(6,10)",30043,30.9
"Clayton County, Iowa(7,8)",19043,30.9
"Winnebago County, Iowa(7)",19189,30.6
"Houston County, Tennessee(6,10)",47083,30.6
"Franklin County, Iowa(7,8)",19069,30.5
"Metcalfe County, Kentucky(7)",21169,30.2
"Wells County, Indiana(6,10)",18179,30
"Hamilton County, Illinois(6,10)",17065,30
"Madison County, Missouri(6,10)",29123,30
"Palo Alto County, Iowa(7)",19147,30
"Rains County, Texas(6,10)",48379,29.8
"Emmet County, Michigan(6,10)",26047,29.8
"Howard County, Iowa(7)",19089,29.7
"Worth County, Iowa(7)",19195,29.6
"Staunton City, Virginia(6,10)",51790,29
"Lincoln County, Nebraska(6,10)",31111,28.9
"Bond County, Illinois(6,10)",17005,28.9
"Wapello County, Iowa(7,8)",19179,28.7
"Yates County, New York(6,10)",36123,28.6
"Bath County, Kentucky(7,8)",21011,28.4
"Fall River County, South Dakota(6,10)",46047,28.2
"Jackson County, Iowa(7,8)",19097,28.1
"Wexford County, Michigan(6,10)",26165,28.1
"Starke County, Indiana(6,10)",18149,28
"Hamilton County, Iowa(7,8)",19079,28
"Marshall County, Iowa(7,8)",19127,27.8
"Snyder County, Pennsylvania(6,10)",42109,27.7
"Powhatan County, Virginia(6,10)",51145,27.6
"Huntingdon County, Pennsylvania(6,10)",42061,27.5
"Harrisonburg City, Virginia(6,10)",51660,27.5
"Rowan County, Kentucky(7)",21205,27.3
"St. Bernard Parish, Louisiana(7,8)",22087,27.3
"Spencer County, Kentucky(7)",21215,27.3
"Plaquemines Parish, Louisiana(7,8)",22075,27.2
"Marinette County, Wisconsin(6,10)",55075,27.1
"McLean County, Kentucky(7)",21149,26.9
"Montour County, Pennsylvania(6,10)",42093,26.9
"Bullitt County, Kentucky(7,8)",21029,26.8
"Johnson County, Illinois(6,10)",17087,26.7
"St. Helena Parish, Louisiana(7)",22091,26.6
"Cedar County, Iowa(7)",19031,26.6
"Caldwell County, Missouri(6,10)",29025,26.5
"Union County, Pennsylvania(6,10)",42119,26.5
"Charlevoix County, Michigan(6,10)",26029,26.5
"Rhea County, Tennessee(6,10)",47143,26.5
"Nelson County, Kentucky(7,8)",21179,26.4
"Jones County, Iowa(7,8)",19105,26.3
"Searcy County, Arkansas(6,10)",5129,26.3
"Cerro Gordo County, Iowa(7,8)",19033,26.3
"Orleans County, Vermont(6,10)",50019,26.3
"Overton County, Tennessee(6,10)",47133,26.2
"Owen County, Kentucky(7)",21187,26.2
"Union County, Georgia(7,8)",13291,26.1
"Iron County, Missouri(6,10)",29093,26.1
"Whiteside County, Illinois(6,10)",17195,26.1
"Madison County, Iowa(7)",19121,26.1
"Hardin County, Iowa(7,8)",19083,26.1
"Calhoun County, Iowa(7)",19025,26
"Montgomery County, Kentucky(7,8)",21173,26
"Ohio County, Kentucky(7,8)",21183,25.9
"Nolan County, Texas(6,10)",48353,25.9
"Saratoga County, New York(6,10)",36091,25.8
"Martin County, Indiana(6,10)",18101,25.8
"Geauga County, Ohio(6,10)",39055,25.8
"Blackford County, Indiana(6,10)",18009,25.8
"Hart County, Kentucky(7,8)",21099,25.7
"Moultrie County, Illinois(6,10)",17139,25.7
"Boone County, Iowa(7)",19015,25.7
"Wilson County, Tennessee(6,10)",47189,25.7
"Saline County, Nebraska(6,10)",31151,25.7
"Clay County, Illinois(6,10)",17025,25.7
"Clinton County, New York(6,10)",36019,25.6
"Adair County, Oklahoma(6,10)",40001,25.6
"Union County, South Dakota(6,10)",46127,25.6
"Perry County, Pennsylvania(6,10)",42099,25.6
"Montgomery County, Iowa(7)",19137,25.5
"Greene County, Iowa(7)",19073,25.5
"Clallam County, Washington(7,8)",53009,25.5
"Teton County, Wyoming(6,10)",56039,25.5
"Macon County, Illinois(6,10)",17115,25.5
"Sabine Parish, Louisiana(7,8)",22085,25.5
"Randolph County, Indiana(6,10)",18135,25.4
"Bureau County, Illinois(6,10)",17011,25.3
"Marion County, Tennessee(6,10)",47115,25.3
"Sevier County, Utah(7,8)",49041,25.3
"East Feliciana Parish, Louisiana(7)",22037,25.3
"Wallowa County, Oregon(6,10)",41063,25.3
"Hancock County, West Virginia(6,10)",54029,25.3
"Marion County, Illinois(6,10)",17121,25.3
"Chittenden County, Vermont(6,10)",50007,25.3
"Sullivan County, New Hampshire(6,10)",33019,25.3
"Copiah County, Mississippi(6,10)",28029,25.2
"Fulton County, Pennsylvania(6,10)",42057,25.2
"Shelby County, Iowa(7)",19165,25.2
"Oconto County, Wisconsin(6,10)",55083,25.2
"Clear Creek County, Colorado(6,10)",8019,25.2
"St. John the Baptist Parish, Louisiana(7,8)",22095,25.1
"McCreary County, Kentucky(7,8)",21147,25.1
"Richland County, North Dakota(6,10)",38077,25.1
"Washtenaw County, Michigan(6,10)",26161,25.1
"Carroll County, Illinois(6,10)",17015,25
