"eventid","iyear","imonth","iday","provstate","city","latitude","longitude","summary","attacktype1_txt","targtype1_txt","nkill","date"
197612150001,1976,12,15,"Baghdad","Baghdad",33.3,44.4,"","Bombing/Explosion","Airports & Aircraft",10,"12/15/1976"
197612180001,1976,12,18,"Unknown","Penjwon",NA,NA,"","Hostage Taking (Kidnapping)","Government (General)",0,"12/18/1976"
197612240001,1976,12,24,"Baghdad","Baghdad",33.3,44.4,"","Assassination","Violent Political Party",2,"12/24/1976"
199601020005,1996,1,2,"Karbala","Karbala",32.613992,44.025046,"","Armed Assault","Military",2,"1/2/1996"
199601100005,1996,1,10,"Baghdad","Baghdad",33.3,44.4,"","Bombing/Explosion","Government (General)",0,"1/10/1996"
199601100006,1996,1,10,"Karbala","Karbala",32.613992,44.025046,"","Assassination","Police",1,"1/10/1996"
199604050007,1996,4,5,"Karbala","Karbala",32.613992,44.025046,"","Bombing/Explosion","Government (General)",0,"4/5/1996"
199604280010,1996,4,28,"Baghdad","Baghdad",33.3,44.4,"","Bombing/Explosion","Business",0,"4/28/1996"
199605010007,1996,5,1,"Maysan","Amarah",31.837472,47.15104,"","Bombing/Explosion","Military",0,"5/1/1996"
199605040008,1996,5,4,"Baghdad","Baghdad",33.3,44.4,"","Bombing/Explosion","Government (General)",0,"5/4/1996"
199606050010,1996,6,5,"Dhi Qar","Nasiriyah",31.05,46.266667,"","Assassination","Military",2,"6/5/1996"
199607150005,1996,7,15,"Al Anbar","Ramadi",33.431899,43.311566,"","Assassination","Government (General)",0,"7/15/1996"
199611120010,1996,11,12,"Unknown","Border",NA,NA,"","Armed Assault","Government (Diplomatic)",1,"11/12/1996"
199611130014,1996,11,13,"Diyala","Khalis",33.851043,44.519491,"","Bombing/Explosion","Government (General)",0,"11/13/1996"
199612010017,1996,12,1,"Arbil","Koysanjag",36.083333,44.633333,"","Unknown","Violent Political Party",5,"12/1/1996"
200601020002,2006,1,2,"Baghdad","Baghdad",33.3,44.4,"01/02/2006: A convoy of three cars, containing the Turkish Ambassador to Iraq Unal Cevikoz and officials was fired at from the roadside near the Um al-Kura Mosque in Baghdad. No one was hurt in the attack, but the windows of the vehicles were broken and one had a flat tire. No group claimed responsibility","Armed Assault","Government (Diplomatic)",0,"1/2/2006"
200601020012,2006,1,2,"Diyala","Baqubah",33.75,44.633333,"01/02/2006: A suicide car bomber killed three police recruits and four others in Baquba, north of Baghdad, Iraq. No group claimed responsibility","Bombing/Explosion","Police",7,"1/2/2006"
200601040001,2006,1,4,"Saladin","Baiji",34.929159,43.493025,"01/04/2006: The driver of an Iraqi oil tanker was killed and his truck destroyed by fire when insurgents fired rocket-propelled grenades on a convoy of trucks heading to Baghdad from the oil refinery of Baiji. Iraq. No group claimed responsibility.","Bombing/Explosion","Utilities",1,"1/4/2006"
200601040005,2006,1,4,"Diyala","Muqdadiyah",33.971348,44.92668,"01/04/2006: Thirty-two mourners at a Shi i politician’s nephew’s funeral were killed and more than forty wounded in in Muqdadiyah, near Baghdad, when a suicide bomber blew up. No group claimed responsibility.","Bombing/Explosion","Private Citizens & Property",32,"1/4/2006"
200601050002,2006,1,5,"Karbala","Karbala",32.614481,44.024968,"01/05/2006: At least forty people were killed and fifty wounded in a bomb explosion in Karbala, Iraq, between Imam Al-Husyan and Iam Al-abbas shrines. Some foreigners were among the casualties and the bomb was carried by a suicide bomber. No group claimed responsibility","Bombing/Explosion","Religious Figures/Institutions",40,"1/5/2006"
200601050006,2006,1,5,"Al Anbar","Ramadi",33.431899,43.311566,"01/05/2006: A suicide bomber in a car wearing an explosive vest blew himself up outside a police recruiting center in Ramadi, Iraq, killing at least thirty and injuring forty. No group claimed responsibility","Bombing/Explosion","Police",30,"1/5/2006"
